cutoff_days,remaining_rows,overall_fraud_rate_pct,segment_1_observed_rate_pct,segment_1_relative_rate,segment_2_observed_rate_pct,segment_2_relative_rate,segment_3_observed_rate_pct,segment_3_relative_rate,segment_4_observed_rate_pct,segment_4_relative_rate
36,1098830,1.1502234194552388,0.6460270572787296,0.5616535416960095,1.0724644056825217,0.9323966001235267,1.9347396876393204,1.6820555510473252,2.1782422272818676,1.8937557612185572
37,1080688,1.1556526953200184,0.6484542830290011,0.5611151911426416,1.0752482140405,0.930425047589879,1.9439453826805606,1.6821190229147969,2.192066117881222,1.8968208413810732
38,1059513,1.1627039970250483,0.6537991902487094,0.5623092308287855,1.0810300239070816,0.9297551454824772,1.9566204361388968,1.6828190503732696,2.1969031444685116,1.8894775885260704
39,1038626,1.1685630823799906,0.6605592107422376,0.5652747555543933,1.0870937938277268,0.930282506968869,1.959600026843836,1.6769313153832957,2.1959805165568334,1.879214352796702
40,1019810,1.170414096743511,0.6634612382528333,0.5668602592012584,1.0846016357038402,0.9266819655723301,1.9678797120250044,1.6813533923594335,2.193800761553347,1.874379988806735
41,1001854,1.1733246560876136,0.6678395912039752,0.5691856791204316,1.0794095136968826,0.9199580935221409,1.9788928375951094,1.6865688684951174,2.19426915148829,1.8701295844280301
42,984547,1.1723157959955188,0.6657687928688457,0.5679090865644112,1.078460646725098,0.9199403867191603,1.9826857447008361,1.6912556765620985,2.1872365958541082,1.8657401046078448
43,969090,1.1766708974398663,0.669917888618215,0.5693332690353643,1.082768201183474,0.9201962957861026,1.9959477176115372,1.696266748803091,2.1821714418280944,1.854529968044539
44,951171,1.1802294224697767,0.6760744497598472,0.5728330754075571,1.0812915811387227,0.9161706703396579,2.0033456437939927,1.6974205232078887,2.177465659644009,1.8449511749058005
45,929725,1.1815321734921618,0.6754647507195862,0.5716854486688824,1.0857949277439967,0.9189719519315314,2.0051863964455015,1.69710689343222,2.17112323544642,1.8375489759448542
46,908855,1.1820367385336494,0.6725746550318548,0.568996405193127,1.086570854110313,0.9192361105952048,2.0177385463168465,1.7070015512545822,2.164058737645143,1.8307880517569362
47,891087,1.1813661292331725,0.6727159752070784,0.5694390236528449,1.0896114874735583,0.9223317483977872,2.0148079354023167,1.7054898439572947,2.1510475376064058,1.8208136194006643
48,872791,1.1796638599618925,0.6731910780512917,0.5706634753335906,1.0905663228983131,0.9244720974443876,2.0082222280660234,1.7023681882828015,2.133426045181223,1.8085033521753733
49,855980,1.1839061660319168,0.6782096337936044,0.5728575906203369,1.0939631096966942,0.9240285599350465,2.008476466651796,1.6964828161876888,2.1347340015420198,1.803127699467079
50,841321,1.1867051933804103,0.6856921452368544,0.5778117000428841,1.0912472873824532,0.9195605559574247,2.0107784973506635,1.694421250169829,2.1314285714285712,1.7960893601190473
51,823237,1.188236194437325,0.6908443591274602,0.581403228046425,1.0889069456435259,0.9164061410864233,2.0125983670151846,1.6937696195731746,2.1234670546663894,1.787074880067874
52,801515,1.1857544774583133,0.6882563216873899,0.5804374638860147,1.09151973131822,0.9205276067419226,2.004192394881864,1.6902254496882756,2.110299929458359,1.7797106986109184
53,780122,1.1917366770838407,0.6926565415593925,0.5812160982192066,1.0927812916558568,0.9169653940079061,2.011086258873869,1.6875256904863942,2.121038265616579,1.7797876883396115
54,760807,1.1999100954644213,0.6936910180802124,0.5781191613457686,1.1063724297499415,0.9220461048973204,2.015763409360396,1.6799287021418061,2.1368014559012827,1.780801298345807
55,743221,1.2051597035067632,0.695428003478693,0.5770421973578628,1.1144907337652554,0.9247660127718509,2.0205106270304403,1.676550104646858,2.1385204726970475,1.7744706087287845
56,726377,1.2110790952907373,0.7035894827202492,0.5809608021938008,1.121746933891714,0.9262375498459267,2.0181309131027594,1.6663906766702776,2.1382094339274853,1.7655407002250143
57,709780,1.2110794894192567,0.7070506584063541,0.5838185392318078,1.1249221891766379,0.9288590872891973,2.0040912868375633,1.6547974797249485,2.1332705439133504,1.7614620365970426
58,691689,1.2079128047431722,0.7091345752374081,0.5870743090501347,1.1216867897547198,0.9286156958930609,1.9881390056022408,1.6459292407492618,2.124090054476209,1.7584796238068157
59,669053,1.2049867499286304,0.7078607068248131,0.5874427306912201,1.1210196441341018,0.9303169882992474,1.9863052458830854,1.6484042218727561,2.1058577530250027,1.7476190117026014
60,647778,1.2038074772530094,0.6962638368140568,0.5783847084941474,1.1236016133766755,0.93337318018712,1.9976182692756737,1.659416731514308,2.1060120953397368,1.7494592242818467
