UserCardBIN,Segment,mature_rows,approved_rows,fraud_rows,approval_rate,fraud_rate_on_approved
301126,3,1,1,0,1.0,0.0
301126,4,3,2,0,0.6666666666666666,0.0
301135,2,14,5,0,0.35714285714285715,0.0
301135,3,25,15,4,0.6,0.26666666666666666
301135,4,13,6,3,0.46153846153846156,0.5
301137,1,3,2,0,0.6666666666666666,0.0
301137,2,6,6,0,1.0,0.0
301137,3,3,2,0,0.6666666666666666,0.0
301140,2,2,2,0,1.0,0.0
301141,2,36,23,0,0.6388888888888888,0.0
301142,1,20,14,0,0.7,0.0
301142,2,3,3,0,1.0,0.0
301142,3,1,1,0,1.0,0.0
301142,4,3,3,0,1.0,0.0
301143,1,5,2,0,0.4,0.0
301143,2,2,2,0,1.0,0.0
301145,1,20,20,0,1.0,0.0
301145,2,14,13,0,0.9285714285714286,0.0
301145,4,3,2,0,0.6666666666666666,0.0
301148,1,6,5,0,0.8333333333333334,0.0
301148,2,13,10,0,0.7692307692307693,0.0
301148,3,12,10,0,0.8333333333333334,0.0
301148,4,11,5,0,0.45454545454545453,0.0
301149,1,58,56,0,0.9655172413793104,0.0
301153,1,87,66,0,0.7586206896551724,0.0
301153,4,1,0,0,0.0,
301156,2,1,0,0,0.0,
301156,3,11,10,0,0.9090909090909091,0.0
301156,4,3,2,0,0.6666666666666666,0.0
301157,3,1,1,0,1.0,0.0
301159,2,19,17,0,0.8947368421052632,0.0
301159,3,4,4,0,1.0,0.0
301159,4,4,2,0,0.5,0.0
301160,1,21,13,0,0.6190476190476191,0.0
301160,3,1,1,0,1.0,0.0
301161,1,6,4,0,0.6666666666666666,0.0
301161,2,5,3,0,0.6,0.0
301161,4,1,1,0,1.0,0.0
301162,1,2,2,0,1.0,0.0
301162,2,11,9,0,0.8181818181818182,0.0
301162,3,5,0,0,0.0,
301162,4,1,0,0,0.0,
301163,1,3,3,0,1.0,0.0
301163,2,48,37,0,0.7708333333333334,0.0
301163,3,7,0,0,0.0,
301163,4,3,3,0,1.0,0.0
301164,1,10,9,0,0.9,0.0
301164,2,11,10,0,0.9090909090909091,0.0
301164,3,10,4,0,0.4,0.0
301164,4,9,7,0,0.7777777777777778,0.0
301165,1,6,2,0,0.3333333333333333,0.0
301165,2,3,2,0,0.6666666666666666,0.0
301165,3,3,3,0,1.0,0.0
301165,4,7,6,0,0.8571428571428571,0.0
301166,1,27,18,0,0.6666666666666666,0.0
301166,2,8,3,0,0.375,0.0
301166,3,23,12,0,0.5217391304347826,0.0
301166,4,7,6,0,0.8571428571428571,0.0
301167,2,13,11,0,0.8461538461538461,0.0
301167,3,7,7,0,1.0,0.0
301167,4,3,3,0,1.0,0.0
301168,2,11,10,0,0.9090909090909091,0.0
301168,3,3,1,0,0.3333333333333333,0.0
301168,4,10,9,3,0.9,0.3333333333333333
301169,1,89,69,1,0.7752808988764045,0.014492753623188406
301169,2,35,34,0,0.9714285714285714,0.0
301169,3,59,52,0,0.8813559322033898,0.0
301169,4,3,3,0,1.0,0.0
301170,1,5,2,0,0.4,0.0
301170,2,7,5,2,0.7142857142857143,0.4
301170,3,12,8,2,0.6666666666666666,0.25
301170,4,3,2,0,0.6666666666666666,0.0
301171,1,6,5,0,0.8333333333333334,0.0
301171,2,17,16,0,0.9411764705882353,0.0
301171,3,7,5,0,0.7142857142857143,0.0
301171,4,6,3,0,0.5,0.0
301175,4,1,1,0,1.0,0.0
301179,4,1,0,0,0.0,
301283,4,1,0,0,0.0,
301351,4,1,0,0,0.0,
301537,4,1,0,0,0.0,
301605,2,4,0,0,0.0,
302037,4,1,0,0,0.0,
302114,3,1,0,0,0.0,
302228,2,4,0,0,0.0,
302363,4,1,0,0,0.0,
302624,4,1,0,0,0.0,
303312,4,1,0,0,0.0,
303703,4,2,0,0,0.0,
303850,4,2,0,0,0.0,
304075,4,1,0,0,0.0,
304422,4,1,0,0,0.0,
304515,2,1,0,0,0.0,
305082,4,1,0,0,0.0,
305350,4,26,0,0,0.0,
306662,4,1,0,0,0.0,
307855,4,1,0,0,0.0,
307871,4,1,0,0,0.0,
308539,4,1,0,0,0.0,
308653,4,1,0,0,0.0,
309019,4,1,0,0,0.0,
309589,4,1,0,0,0.0,
309861,4,1,0,0,0.0,
309900,3,2,0,0,0.0,
309901,4,1,0,0,0.0,
309907,4,1,0,0,0.0,
329909,4,77,0,0,0.0,
329930,2,1,0,0,0.0,
329930,4,8,0,0,0.0,
330103,1,88,39,0,0.4431818181818182,0.0
330103,2,37,20,0,0.5405405405405406,0.0
330103,3,12,5,0,0.4166666666666667,0.0
330103,4,14,7,0,0.5,0.0
330157,2,1,0,0,0.0,
330210,4,18,0,0,0.0,
330218,1,58,22,0,0.3793103448275862,0.0
330218,2,11,5,0,0.45454545454545453,0.0
330218,3,12,4,0,0.3333333333333333,0.0
330218,4,25,13,0,0.52,0.0
330219,1,445,221,0,0.4966292134831461,0.0
330219,2,419,194,2,0.4630071599045346,0.010309278350515464
330219,3,216,77,2,0.35648148148148145,0.025974025974025976
330219,4,210,99,4,0.4714285714285714,0.04040404040404041
330265,4,1,0,0,0.0,
330290,2,2,2,0,1.0,0.0
330290,4,2,2,0,1.0,0.0
330291,1,178,131,0,0.7359550561797753,0.0
330291,2,174,119,1,0.6839080459770115,0.008403361344537815
330291,3,144,103,3,0.7152777777777778,0.02912621359223301
330291,4,126,88,7,0.6984126984126984,0.07954545454545454
330300,1,144,92,0,0.6388888888888888,0.0
330300,2,66,40,0,0.6060606060606061,0.0
330300,3,7,3,0,0.42857142857142855,0.0
330300,4,1,0,0,0.0,
330302,4,1,1,0,1.0,0.0
330303,1,24,11,0,0.4583333333333333,0.0
330303,2,3,3,0,1.0,0.0
330304,2,1,0,0,0.0,
330305,1,2,2,0,1.0,0.0
330305,2,2,2,0,1.0,0.0
330306,4,1,0,0,0.0,
330393,3,1,0,0,0.0,
330447,3,2,0,0,0.0,
330492,4,1,0,0,0.0,
330548,1,311,233,0,0.7491961414790996,0.0
330548,2,314,267,0,0.8503184713375797,0.0
330548,3,145,105,3,0.7241379310344828,0.02857142857142857
330548,4,52,19,4,0.36538461538461536,0.21052631578947367
330600,4,1,0,0,0.0,
330817,2,2,2,0,1.0,0.0
330817,4,2,0,0,0.0,
330822,1,15,6,0,0.4,0.0
330822,2,4,4,0,1.0,0.0
330822,3,7,7,0,1.0,0.0
330822,4,1,1,0,1.0,0.0
330823,2,1,1,0,1.0,0.0
330823,3,2,0,0,0.0,
330823,4,1,1,0,1.0,0.0
330891,1,121,45,0,0.371900826446281,0.0
330891,2,47,33,0,0.7021276595744681,0.0
330891,3,44,35,3,0.7954545454545454,0.08571428571428572
330891,4,9,6,3,0.6666666666666666,0.5
330929,1,160,155,0,0.96875,0.0
330929,2,39,34,0,0.8717948717948718,0.0
330929,3,4,1,0,0.25,0.0
330929,4,3,0,0,0.0,
330930,1,85,59,0,0.6941176470588235,0.0
330930,2,63,52,0,0.8253968253968254,0.0
330930,3,2,2,0,1.0,0.0
330930,4,8,4,0,0.5,0.0
330931,1,44,36,0,0.8181818181818182,0.0
330931,2,59,41,0,0.6949152542372882,0.0
330931,3,25,17,0,0.68,0.0
330931,4,3,1,0,0.3333333333333333,0.0
330933,1,56,40,2,0.7142857142857143,0.05
330933,2,65,51,1,0.7846153846153846,0.0196078431372549
330933,3,9,6,0,0.6666666666666666,0.0
330933,4,8,3,0,0.375,0.0
330934,1,133,84,0,0.631578947368421,0.0
330934,2,45,15,0,0.3333333333333333,0.0
330934,3,20,17,0,0.85,0.0
330934,4,17,10,0,0.5882352941176471,0.0
330935,1,37,24,0,0.6486486486486487,0.0
330935,2,25,17,0,0.68,0.0
330935,3,20,17,0,0.85,0.0
330935,4,18,3,2,0.16666666666666666,0.6666666666666666
330938,1,57,45,0,0.7894736842105263,0.0
330938,2,16,13,0,0.8125,0.0
330938,3,23,17,7,0.7391304347826086,0.4117647058823529
330938,4,6,3,0,0.5,0.0
330951,4,1,1,0,1.0,0.0
331023,1,15,9,0,0.6,0.0
331023,2,19,10,0,0.5263157894736842,0.0
331023,3,18,12,1,0.6666666666666666,0.08333333333333333
331023,4,8,4,0,0.5,0.0
331024,1,20,19,0,0.95,0.0
331024,2,44,39,0,0.8863636363636364,0.0
331024,3,23,17,0,0.7391304347826086,0.0
331024,4,5,4,1,0.8,0.25
331025,1,11,9,0,0.8181818181818182,0.0
331025,2,38,5,0,0.13157894736842105,0.0
331025,3,1,0,0,0.0,
331025,4,23,4,0,0.17391304347826086,0.0
331027,1,59,50,0,0.847457627118644,0.0
331027,2,23,17,0,0.7391304347826086,0.0
331027,3,13,3,0,0.23076923076923078,0.0
331027,4,9,4,1,0.4444444444444444,0.25
331028,1,6,4,0,0.6666666666666666,0.0
331028,2,57,49,0,0.8596491228070176,0.0
331028,3,23,15,0,0.6521739130434783,0.0
331028,4,20,11,0,0.55,0.0
331051,1,10,9,0,0.9,0.0
331051,2,6,4,0,0.6666666666666666,0.0
331051,3,19,9,0,0.47368421052631576,0.0
331051,4,11,5,0,0.45454545454545453,0.0
331052,1,79,70,1,0.8860759493670886,0.014285714285714285
331052,2,16,15,0,0.9375,0.0
331052,3,6,5,0,0.8333333333333334,0.0
331052,4,9,4,0,0.4444444444444444,0.0
331054,1,120,113,0,0.9416666666666667,0.0
331054,2,78,74,2,0.9487179487179487,0.02702702702702703
331054,3,18,14,2,0.7777777777777778,0.14285714285714285
331054,4,3,0,0,0.0,
331055,1,240,192,0,0.8,0.0
331055,2,73,51,6,0.6986301369863014,0.11764705882352941
331055,3,19,12,1,0.631578947368421,0.08333333333333333
331055,4,7,4,0,0.5714285714285714,0.0
331056,1,108,70,0,0.6481481481481481,0.0
331056,2,56,32,0,0.5714285714285714,0.0
331056,3,16,12,0,0.75,0.0
331056,4,6,3,0,0.5,0.0
331057,1,19,15,0,0.7894736842105263,0.0
331057,2,26,19,3,0.7307692307692307,0.15789473684210525
331057,3,5,5,0,1.0,0.0
331057,4,11,4,0,0.36363636363636365,0.0
331058,1,12,12,0,1.0,0.0
331058,2,39,30,2,0.7692307692307693,0.06666666666666667
331058,3,22,14,0,0.6363636363636364,0.0
331058,4,14,9,6,0.6428571428571429,0.6666666666666666
331075,2,2,2,0,1.0,0.0
331105,1,15,13,0,0.8666666666666667,0.0
331109,4,1,0,0,0.0,
331120,2,1,0,0,0.0,
331120,3,1,0,0,0.0,
331120,4,2,1,1,0.5,1.0
331122,3,5,4,0,0.8,0.0
331122,4,3,0,0,0.0,
331124,2,1,0,0,0.0,
331127,1,30,18,0,0.6,0.0
331127,2,40,31,27,0.775,0.8709677419354839
331127,3,19,13,2,0.6842105263157895,0.15384615384615385
331127,4,5,3,0,0.6,0.0
331131,1,1,1,0,1.0,0.0
331131,2,5,5,0,1.0,0.0
331132,2,18,6,0,0.3333333333333333,0.0
331132,3,1,1,0,1.0,0.0
331132,4,2,2,0,1.0,0.0
331134,1,1,1,0,1.0,0.0
331134,2,23,15,0,0.6521739130434783,0.0
331134,3,1,1,0,1.0,0.0
331134,4,3,1,0,0.3333333333333333,0.0
331135,4,1,0,0,0.0,
331142,2,2,0,0,0.0,
331142,4,1,0,0,0.0,
331149,1,31,18,0,0.5806451612903226,0.0
331150,1,12,4,0,0.3333333333333333,0.0
331150,2,9,6,0,0.6666666666666666,0.0
331151,1,42,40,0,0.9523809523809523,0.0
331151,2,3,3,0,1.0,0.0
331152,2,3,3,0,1.0,0.0
331152,4,2,2,1,1.0,0.5
331153,1,5,3,0,0.6,0.0
331153,2,3,1,0,0.3333333333333333,0.0
331154,1,38,32,0,0.8421052631578947,0.0
331154,2,23,5,0,0.21739130434782608,0.0
331154,3,15,3,0,0.2,0.0
331154,4,1,0,0,0.0,
331155,1,5,4,0,0.8,0.0
331155,2,2,2,0,1.0,0.0
331155,3,19,0,0,0.0,
