entity_value,rows,fraud_rows,share_pct,observed_rate_pct,rate_index
PURPLE1,4690,53,0.2648182465982995,1.1300639658848615,1.2047027419762852
SILVER3,4618,66,0.260752806565234,1.429190125595496,1.5235856686768727
BEST43,4337,17,0.24488629754729746,0.39197602029052336,0.41786536044726685
QUEEN9,4287,32,0.24206307530211302,0.7464427338465127,0.7957439891369734
DRIVE565,4228,26,0.23873167305279536,0.6149479659413435,0.6555642185813723
DRIVE757,4157,38,0.2347226974646335,0.9141207601635795,0.9744968599226289
DRIVE761,4128,36,0.23308522856242653,0.872093023255814,0.9296932634711678
ATM51,4062,17,0.22935857519878308,0.41851304775972425,0.4461551128162965
ORANGE22,3949,32,0.22297809292466625,0.8103317295517852,0.8638527428286161
DRIVE710,3933,38,0.22207466180620725,0.966183574879227,1.0299983337651586
PURPLE2,3815,100,0.215411857307572,2.621231979030144,2.794359830791452
SILVER5,3699,20,0.20886198169874412,0.5406866720735334,0.576398094321135
DRIVE755,3653,20,0.20626461723317444,0.5474952094169175,0.5836563238143657
BATTLE8,3568,30,0.2014651394163609,0.8408071748878924,0.8963410387726506
ORANGE32,3532,30,0.19943241939982814,0.8493771234428085,0.9054770176502879
BEST40,3514,12,0.19841605939156173,0.3414911781445646,0.36404608154135654
PURPLE3,3481,66,0.19655273270974,1.8960068945705257,2.0212348801924156
BULL2,3427,25,0.19350365268494082,0.7295010213014298,0.77768330569517
DRIVE650,3373,48,0.19045457266014162,1.423065520308331,1.5170565437726973
DRIVE490,3364,30,0.18994639265600843,0.89179548156956,0.950697035178602
BEST41,3361,23,0.18977699932129738,0.6843201428146385,0.7295183081011484
DRIVE364,3351,37,0.18921235487226049,1.1041480155177559,1.1770750877808638
DRIVE750,3318,9,0.18734902819043878,0.27124773960216997,0.2891631850217737
OAK,3281,11,0.18525984372900228,0.33526363913441026,0.357407224319303
DRIVE769,3259,29,0.18401762594112112,0.8898435102792267,0.9486161395508202
BATTLE15,3156,1,0.1782017881160412,0.03168567807351077,0.03377846246663305
BULL1,3144,9,0.17752421477719693,0.2862595419847328,0.30516649106305505
DRIVE739,3139,20,0.1772418925526785,0.6371455877668047,0.6792279550474286
BATTLE1,3119,31,0.1761126036546047,0.9939083039435717,1.0595542333714367
DRIVE728,3111,56,0.17566088809537522,1.800064288010286,1.9189554299269875
DRIVE347,2981,42,0.16832051025789568,1.4089231801408924,1.5019801264264154
DRIVE765,2975,29,0.16798172358847357,0.9747899159663866,1.0391731088390332
OIL1,2916,18,0.16465032133915594,0.6172839506172839,0.658054491016629
DRIVE752,2893,18,0.16335163910637113,0.6221914967162115,0.6632861720720672
BATTLE4,2889,21,0.16312578132675637,0.726895119418484,0.7749052884868717
DRIVE786,2587,14,0.14607351896584242,0.5411673753382297,0.5769105472074662
DRIVE726,2527,37,0.14268565227162108,1.4641867827463395,1.5608937946789374
DRIVE799,2354,7,0.13291730330328297,0.29736618521665253,0.3170067089264475
DRIVE657,2276,6,0.12851307660079525,0.26362038664323373,0.28103205855367464
ATM47,2081,5,0.11750250984457597,0.2402691013935608,0.25613846118379124
DRIVE398,1916,22,0.10818587643546736,1.1482254697286012,1.2240637818284268
DRIVE455,1853,4,0.10462861640653497,0.21586616297895306,0.2301237507710608
DRIVE792,1611,5,0.09096422073984232,0.31036623215394166,0.33086538654467385
DRIVE585,1589,8,0.08972200295196119,0.5034612964128383,0.5367140467951865
QUEEN11,1558,21,0.08797160515994683,1.3478818998716302,1.4369071748642952
DRIVE785,1516,6,0.08560009847399191,0.395778364116095,0.4219188425251738
SILVER6,1511,6,0.08531777624947347,0.3970880211780278,0.42331500017747414
MAYDAY1,1416,13,0.07995365398362306,0.9180790960451978,0.9787166370628678
OIL4,1381,0,0.07797739841199396,0.0,0.0
SILVER7,1348,2,0.07611407173017222,0.1483679525222552,0.1581673999179435
OAK1,1342,3,0.0757752850607501,0.22354694485842028,0.23831183504775091
ORANGE33,1323,13,0.07470246060758001,0.9826152683295541,1.0475153122305525
DRIVE797,1305,8,0.07368610059931362,0.6130268199233717,0.6535161841820317
WINE,1287,3,0.07266974059104722,0.2331002331002331,0.248496101502783
OIL2,1176,5,0.0664021872067378,0.4251700680272109,0.45325181779206597
CCCOIN12,1135,5,0.06408714496568656,0.4405286343612335,0.4696247909457882
DRIVE760,994,11,0.05612565823426646,1.1066398390342052,1.1797314919432926
MAYDAY2,986,13,0.055673942675036954,1.3184584178498986,1.4055403225973842
DRIVE764,972,1,0.054883440446385316,0.102880658436214,0.10967574850277151
DRIVE758,905,7,0.051100322637838175,0.7734806629834254,0.8245677268650358
BEST39,877,10,0.0495193181805349,1.1402508551881414,1.2155624577502155
DRIVE793,861,4,0.04861588706207588,0.4645760743321719,0.49526052285572086
DRIVE767,842,1,0.0475430626089058,0.11876484560570072,0.12660905884167922
DRIVE290,773,7,0.043647015910551284,0.9055627425614489,0.9653736000166331
PEACH10,739,4,0.04172722478382587,0.5412719891745602,0.5770220706072742
DRIVE754,684,1,0.038621680314123,0.14619883040935672,0.15585501103025423
DRIVE770,655,2,0.03698421141191603,0.3053435114503817,0.3255109238005921
BEST44,651,1,0.036758353632301274,0.15360983102918588,0.1637554954603593
