TransactionDay,rows,fraud_count,fraud_rate_pct,fraud_rate_7d,fraud_count_7d
2026-04-09,19315,168,0.8697903184053845,1.1251774140146122,214.14285714285714
2026-04-10,21393,207,0.9676062263357174,1.0861364367797115,206.0
2026-04-11,21722,278,1.2798084890894024,1.0840521775657395,203.85714285714286
2026-04-12,18084,202,1.1170095111700953,1.0533172349074185,198.28571428571428
2026-04-13,14659,150,1.0232621597653317,1.0264886519933394,191.0
2026-04-14,16811,162,0.963654749866159,1.0284545966853498,191.28571428571428
2026-04-15,18296,231,1.2625710537822474,1.0691003583449052,199.71428571428572
2026-04-16,17768,216,1.2156686177397569,1.1185115439641014,206.57142857142858
2026-04-17,20870,242,1.1595591758505033,1.145933393894785,211.57142857142858
2026-04-18,21446,241,1.1237526811526626,1.1236397070466795,206.28571428571428
2026-04-19,17919,177,0.9877783358446341,1.1051781105716134,202.71428571428572
2026-04-20,15457,139,0.8992689396389985,1.087464793410709,201.14285714285714
2026-04-21,17307,213,1.2307158953024788,1.1256163856158974,208.42857142857142
2026-04-22,17956,181,1.0080196034751614,1.0892518927148849,201.28571428571428
2026-04-23,18816,201,1.0682397959183674,1.0681906324546866,199.14285714285714
2026-04-24,20887,182,0.8713553885191747,1.0270186628359252,190.57142857142858
2026-04-25,21175,170,0.8028335301062574,0.981173069829296,180.42857142857142
2026-04-26,18142,150,0.8268107154668725,0.9581776954896158,176.57142857142858
2026-04-27,15325,148,0.965742251223491,0.967673882858829,177.85714285714286
2026-04-28,17304,136,0.7859454461396209,0.9041352472641352,166.85714285714286
2026-04-29,19118,203,1.061826550894445,0.9118219540383183,170.0
2026-04-30,20643,167,0.8089909412391609,0.8747864033698604,165.14285714285714
2026-05-01,23691,206,0.8695285129374024,0.874525421143893,168.57142857142858
2026-05-02,26491,250,0.943716733985127,0.8946515931265886,180.0
2026-05-03,17898,126,0.7039892725444183,0.8771056727090951,176.57142857142858
2026-05-04,14551,125,0.8590474881451448,0.8618635636979027,173.28571428571428
2026-05-05,15647,130,0.8308301910909439,0.8682756701195203,172.42857142857142
2026-05-06,17769,145,0.81602791378243,0.8331615791035182,164.14285714285714
2026-05-07,20436,124,0.6067723624975534,0.80427321071186,158.0
2026-05-08,22862,119,0.5205143906919779,0.754414050391085,145.57142857142858
2026-05-09,23774,158,0.66459157062337,0.7145390270536911,132.42857142857142
2026-05-10,18731,130,0.6940366237787624,0.7131172200871688,133.0
2026-05-11,16315,136,0.8335887220349373,0.7094802534999963,134.57142857142858
2026-05-12,16542,102,0.6166122597025753,0.6788776918730866,130.57142857142858
2026-05-13,18128,140,0.7722859664607238,0.6726288422557001,129.85714285714286
2026-05-14,19451,158,0.8122975682484191,0.7019895859343952,134.71428571428572
2026-05-15,22581,162,0.7174172977281785,0.7301185726538524,140.85714285714286
2026-05-16,22942,149,0.6494638653997036,0.7279574719076143,139.57142857142858
2026-05-17,18534,115,0.6204812776518831,0.71744956531806,137.42857142857142
2026-05-18,15277,102,0.6676703541271192,0.6937469413312289,132.57142857142858
2026-05-19,16544,65,0.3928916827852998,0.6617868589144752,127.28571428571429
2026-05-20,17756,102,0.5744537057895922,0.6335251073900279,121.85714285714286
2026-05-21,19674,48,0.24397682220189082,0.552336429383381,106.14285714285714
2026-05-22,21941,66,0.30080670890114397,0.49282063097951895,92.42857142857143
2026-05-23,20222,69,0.34121254079715163,0.44878472746486864,81.0
2026-05-24,18643,82,0.43984337284771763,0.42297931249284504,76.28571428571429
2026-05-25,15702,52,0.3311680040759139,0.3749075481998157,69.14285714285714
2026-05-26,16297,53,0.3252132294287292,0.36523919772030566,67.42857142857143
2026-05-27,17847,51,0.28576231299378047,0.3239975701780468,60.142857142857146
2026-05-28,20364,57,0.27990571596935765,0.32913026928768485,61.42857142857143
2026-05-29,21728,34,0.156480117820324,0.3085121848475678,56.857142857142854
2026-05-30,23456,38,0.16200545702592087,0.2829111728802491,52.42857142857143
2026-05-31,18011,26,0.14435622675031926,0.2406987234377636,44.42857142857143
2026-06-01,1,0,0.0,0.1933890085697759,37.0
