entity_value,segment_1_rows,segment_2_rows,segment_3_rows,segment_4_rows,rows,segment_count,segment_1_share_pct,segment_2_share_pct,segment_3_share_pct,segment_4_share_pct,dominant_segment,dominant_share_pct
540854,20.0,11.0,24.0,63.0,118.0,4,16.94915254237288,9.322033898305085,20.33898305084746,53.38983050847458,4,53.38983050847458
547225,78.0,21.0,17.0,2.0,118.0,4,66.10169491525424,17.796610169491526,14.40677966101695,1.694915254237288,1,66.10169491525424
331493,4.0,110.0,1.0,2.0,117.0,4,3.418803418803419,94.01709401709401,0.8547008547008548,1.7094017094017095,2,94.01709401709401
332668,60.0,29.0,21.0,7.0,117.0,4,51.28205128205128,24.786324786324787,17.94871794871795,5.982905982905983,1,51.28205128205128
339209,106.0,2.0,5.0,4.0,117.0,4,90.5982905982906,1.7094017094017095,4.273504273504273,3.418803418803419,1,90.5982905982906
339753,18.0,83.0,9.0,7.0,117.0,4,15.384615384615385,70.94017094017094,7.6923076923076925,5.982905982905983,2,70.94017094017094
404647,35.0,18.0,8.0,56.0,117.0,4,29.914529914529915,15.384615384615385,6.837606837606838,47.863247863247864,4,47.863247863247864
473895,57.0,13.0,15.0,32.0,117.0,4,48.717948717948715,11.11111111111111,12.82051282051282,27.350427350427353,1,48.717948717948715
481159,57.0,28.0,15.0,17.0,117.0,4,48.717948717948715,23.931623931623932,12.82051282051282,14.529914529914532,1,48.717948717948715
483457,70.0,34.0,11.0,2.0,117.0,4,59.82905982905983,29.059829059829063,9.401709401709402,1.7094017094017095,1,59.82905982905983
404787,116.0,0.0,0.0,0.0,116.0,1,100.0,0.0,0.0,0.0,1,100.0
423800,61.0,18.0,20.0,17.0,116.0,4,52.58620689655172,15.517241379310345,17.24137931034483,14.655172413793101,1,52.58620689655172
509949,47.0,58.0,5.0,6.0,116.0,4,40.51724137931034,50.0,4.310344827586207,5.172413793103448,2,50.0
339477,82.0,29.0,2.0,2.0,115.0,4,71.30434782608695,25.217391304347824,1.7391304347826086,1.7391304347826086,1,71.30434782608695
416459,82.0,25.0,7.0,1.0,115.0,4,71.30434782608695,21.73913043478261,6.086956521739131,0.8695652173913043,1,71.30434782608695
438777,41.0,51.0,7.0,16.0,115.0,4,35.65217391304348,44.34782608695652,6.086956521739131,13.91304347826087,2,44.34782608695652
524297,36.0,19.0,7.0,53.0,115.0,4,31.30434782608696,16.52173913043478,6.086956521739131,46.08695652173913,4,46.08695652173913
334554,4.0,86.0,12.0,12.0,114.0,4,3.508771929824561,75.43859649122807,10.526315789473683,10.526315789473683,2,75.43859649122807
339180,91.0,11.0,12.0,0.0,114.0,3,79.82456140350878,9.649122807017543,10.526315789473683,0.0,1,79.82456140350878
339702,43.0,65.0,5.0,1.0,114.0,4,37.719298245614034,57.01754385964912,4.385964912280701,0.8771929824561403,2,57.01754385964912
339703,20.0,83.0,4.0,7.0,114.0,4,17.543859649122805,72.80701754385966,3.508771929824561,6.140350877192982,2,72.80701754385966
402610,0.0,51.0,42.0,21.0,114.0,3,0.0,44.73684210526316,36.84210526315789,18.421052631578945,2,44.73684210526316
403481,81.0,23.0,3.0,7.0,114.0,4,71.05263157894737,20.175438596491226,2.631578947368421,6.140350877192982,1,71.05263157894737
418539,59.0,4.0,44.0,7.0,114.0,4,51.75438596491229,3.508771929824561,38.59649122807017,6.140350877192982,1,51.75438596491229
520991,61.0,23.0,17.0,13.0,114.0,4,53.50877192982456,20.175438596491226,14.912280701754385,11.403508771929824,1,53.50877192982456
533424,28.0,52.0,14.0,20.0,114.0,4,24.561403508771928,45.614035087719294,12.280701754385964,17.543859649122805,2,45.614035087719294
332638,94.0,2.0,14.0,3.0,113.0,4,83.1858407079646,1.7699115044247788,12.389380530973451,2.6548672566371683,1,83.1858407079646
332889,19.0,76.0,13.0,5.0,113.0,4,16.8141592920354,67.2566371681416,11.504424778761061,4.424778761061947,2,67.2566371681416
532211,22.0,20.0,35.0,36.0,113.0,4,19.469026548672566,17.699115044247787,30.973451327433626,31.858407079646017,4,31.858407079646017
542387,64.0,14.0,9.0,26.0,113.0,4,56.63716814159292,12.389380530973451,7.964601769911504,23.008849557522122,1,56.63716814159292
405527,12.0,19.0,33.0,48.0,112.0,4,10.714285714285714,16.964285714285715,29.464285714285715,42.857142857142854,4,42.857142857142854
413561,103.0,4.0,2.0,3.0,112.0,4,91.96428571428571,3.571428571428571,1.7857142857142856,2.6785714285714284,1,91.96428571428571
419489,19.0,15.0,37.0,41.0,112.0,4,16.964285714285715,13.392857142857142,33.035714285714285,36.607142857142854,4,36.607142857142854
426437,31.0,19.0,27.0,35.0,112.0,4,27.67857142857143,16.964285714285715,24.107142857142858,31.25,4,31.25
435678,96.0,2.0,6.0,8.0,112.0,4,85.71428571428571,1.7857142857142856,5.357142857142857,7.142857142857142,1,85.71428571428571
441241,41.0,40.0,5.0,26.0,112.0,4,36.607142857142854,35.714285714285715,4.464285714285714,23.214285714285715,1,36.607142857142854
448582,0.0,0.0,41.0,71.0,112.0,2,0.0,0.0,36.607142857142854,63.39285714285714,4,63.39285714285714
473962,81.0,19.0,7.0,5.0,112.0,4,72.32142857142857,16.964285714285715,6.25,4.464285714285714,1,72.32142857142857
549617,107.0,5.0,0.0,0.0,112.0,2,95.53571428571429,4.464285714285714,0.0,0.0,1,95.53571428571429
415355,95.0,11.0,3.0,2.0,111.0,4,85.58558558558559,9.90990990990991,2.7027027027027026,1.8018018018018018,1,85.58558558558559
448765,53.0,9.0,31.0,18.0,111.0,4,47.74774774774775,8.108108108108109,27.927927927927925,16.216216216216218,1,47.74774774774775
455215,21.0,37.0,23.0,30.0,111.0,4,18.91891891891892,33.33333333333333,20.72072072072072,27.027027027027028,2,33.33333333333333
479134,55.0,6.0,30.0,20.0,111.0,4,49.549549549549546,5.405405405405405,27.027027027027028,18.01801801801802,1,49.549549549549546
494276,46.0,30.0,17.0,18.0,111.0,4,41.44144144144144,27.027027027027028,15.315315315315313,16.216216216216218,1,41.44144144144144
513442,111.0,0.0,0.0,0.0,111.0,1,100.0,0.0,0.0,0.0,1,100.0
301064,18.0,31.0,20.0,41.0,110.0,4,16.363636363636363,28.18181818181818,18.181818181818183,37.27272727272727,4,37.27272727272727
339143,55.0,49.0,5.0,1.0,110.0,4,50.0,44.54545454545455,4.545454545454546,0.9090909090909091,1,50.0
451222,84.0,0.0,0.0,26.0,110.0,2,76.36363636363637,0.0,0.0,23.636363636363637,1,76.36363636363637
481571,48.0,34.0,13.0,15.0,110.0,4,43.63636363636363,30.909090909090907,11.818181818181818,13.636363636363635,1,43.63636363636363
504787,2.0,63.0,32.0,13.0,110.0,4,1.8181818181818181,57.27272727272727,29.09090909090909,11.818181818181818,2,57.27272727272727
508696,57.0,14.0,24.0,15.0,110.0,4,51.81818181818182,12.727272727272727,21.818181818181817,13.636363636363635,1,51.81818181818182
331154,56.0,32.0,18.0,3.0,109.0,4,51.37614678899083,29.357798165137616,16.51376146788991,2.7522935779816518,1,51.37614678899083
403483,59.0,24.0,9.0,17.0,109.0,4,54.12844036697248,22.018348623853214,8.256880733944955,15.59633027522936,1,54.12844036697248
416283,36.0,43.0,13.0,17.0,109.0,4,33.02752293577982,39.44954128440367,11.926605504587156,15.59633027522936,2,39.44954128440367
435468,9.0,74.0,15.0,11.0,109.0,4,8.256880733944955,67.88990825688074,13.761467889908257,10.091743119266056,2,67.88990825688074
463229,84.0,7.0,13.0,5.0,109.0,4,77.06422018348624,6.422018348623854,11.926605504587156,4.587155963302752,1,77.06422018348624
467058,6.0,7.0,76.0,20.0,109.0,4,5.5045871559633035,6.422018348623854,69.72477064220183,18.34862385321101,3,69.72477064220183
511614,61.0,33.0,9.0,6.0,109.0,4,55.96330275229357,30.275229357798167,8.256880733944955,5.5045871559633035,1,55.96330275229357
331023,32.0,38.0,26.0,12.0,108.0,4,29.629629629629626,35.18518518518518,24.074074074074073,11.11111111111111,2,35.18518518518518
426929,56.0,39.0,2.0,11.0,108.0,4,51.85185185185185,36.11111111111111,1.8518518518518516,10.185185185185185,1,51.85185185185185
451434,91.0,0.0,8.0,9.0,108.0,3,84.25925925925925,0.0,7.4074074074074066,8.333333333333332,1,84.25925925925925
549621,95.0,0.0,0.0,13.0,108.0,2,87.96296296296296,0.0,0.0,12.037037037037036,1,87.96296296296296
449234,77.0,22.0,4.0,4.0,107.0,4,71.96261682242991,20.5607476635514,3.7383177570093453,3.7383177570093453,1,71.96261682242991
498553,57.0,35.0,5.0,10.0,107.0,4,53.271028037383175,32.71028037383177,4.672897196261682,9.345794392523365,1,53.271028037383175
549430,100.0,7.0,0.0,0.0,107.0,2,93.45794392523365,6.5420560747663545,0.0,0.0,1,93.45794392523365
339221,46.0,32.0,8.0,20.0,106.0,4,43.39622641509434,30.18867924528302,7.547169811320755,18.867924528301888,1,43.39622641509434
339706,41.0,21.0,25.0,19.0,106.0,4,38.67924528301887,19.81132075471698,23.58490566037736,17.92452830188679,1,38.67924528301887
411342,0.0,45.0,25.0,36.0,106.0,3,0.0,42.45283018867924,23.58490566037736,33.9622641509434,2,42.45283018867924
420675,105.0,0.0,0.0,1.0,106.0,2,99.05660377358491,0.0,0.0,0.9433962264150944,1,99.05660377358491
501538,18.0,4.0,36.0,48.0,106.0,4,16.9811320754717,3.7735849056603774,33.9622641509434,45.28301886792453,4,45.28301886792453
507570,27.0,41.0,4.0,34.0,106.0,4,25.471698113207548,38.67924528301887,3.7735849056603774,32.075471698113205,2,38.67924528301887
513646,34.0,39.0,13.0,20.0,106.0,4,32.075471698113205,36.79245283018868,12.264150943396226,18.867924528301888,2,36.79245283018868
330303,88.0,8.0,6.0,3.0,105.0,4,83.80952380952381,7.6190476190476195,5.714285714285714,2.857142857142857,1,83.80952380952381
335059,90.0,5.0,5.0,5.0,105.0,4,85.71428571428571,4.761904761904762,4.761904761904762,4.761904761904762,1,85.71428571428571
339147,54.0,46.0,4.0,1.0,105.0,4,51.42857142857142,43.80952380952381,3.8095238095238098,0.9523809523809524,1,51.42857142857142
447431,89.0,0.0,8.0,8.0,105.0,3,84.76190476190476,0.0,7.6190476190476195,7.6190476190476195,1,84.76190476190476
447903,74.0,16.0,7.0,8.0,105.0,4,70.47619047619048,15.238095238095239,6.666666666666667,7.6190476190476195,1,70.47619047619048
535430,66.0,23.0,3.0,13.0,105.0,4,62.857142857142854,21.904761904761905,2.857142857142857,12.380952380952381,1,62.857142857142854
331204,80.0,14.0,4.0,6.0,104.0,4,76.92307692307693,13.461538461538462,3.8461538461538463,5.769230769230769,1,76.92307692307693
430612,87.0,17.0,0.0,0.0,104.0,2,83.65384615384616,16.346153846153847,0.0,0.0,1,83.65384615384616
431722,18.0,31.0,14.0,41.0,104.0,4,17.307692307692307,29.807692307692307,13.461538461538462,39.42307692307692,4,39.42307692307692
435829,72.0,7.0,23.0,2.0,104.0,4,69.23076923076923,6.730769230769231,22.115384615384613,1.9230769230769231,1,69.23076923076923
436110,52.0,26.0,9.0,17.0,104.0,4,50.0,25.0,8.653846153846153,16.346153846153847,1,50.0
446269,104.0,0.0,0.0,0.0,104.0,1,100.0,0.0,0.0,0.0,1,100.0
477791,50.0,28.0,5.0,21.0,104.0,4,48.07692307692308,26.923076923076923,4.807692307692308,20.192307692307693,1,48.07692307692308
501355,87.0,11.0,2.0,4.0,104.0,4,83.65384615384616,10.576923076923077,1.9230769230769231,3.8461538461538463,1,83.65384615384616
504015,52.0,42.0,5.0,5.0,104.0,4,50.0,40.38461538461539,4.807692307692308,4.807692307692308,1,50.0
523577,10.0,0.0,53.0,41.0,104.0,3,9.615384615384617,0.0,50.96153846153846,39.42307692307692,3,50.96153846153846
538000,59.0,18.0,14.0,13.0,104.0,4,56.730769230769226,17.307692307692307,13.461538461538462,12.5,1,56.730769230769226
539106,26.0,33.0,22.0,23.0,104.0,4,25.0,31.73076923076923,21.153846153846153,22.115384615384613,2,31.73076923076923
301096,26.0,65.0,4.0,8.0,103.0,4,25.24271844660194,63.10679611650486,3.8834951456310676,7.766990291262135,2,63.10679611650486
426442,93.0,2.0,5.0,3.0,103.0,4,90.29126213592234,1.9417475728155338,4.854368932038835,2.912621359223301,1,90.29126213592234
429439,17.0,23.0,42.0,21.0,103.0,4,16.50485436893204,22.330097087378643,40.77669902912621,20.388349514563107,3,40.77669902912621
435633,60.0,6.0,22.0,15.0,103.0,4,58.252427184466015,5.825242718446602,21.35922330097087,14.563106796116504,1,58.252427184466015
519143,62.0,24.0,8.0,9.0,103.0,4,60.19417475728155,23.300970873786408,7.766990291262135,8.737864077669903,1,60.19417475728155
549822,35.0,57.0,1.0,10.0,103.0,4,33.980582524271846,55.33980582524271,0.9708737864077669,9.70873786407767,2,55.33980582524271
301090,14.0,69.0,9.0,10.0,102.0,4,13.725490196078432,67.64705882352942,8.823529411764707,9.803921568627452,2,67.64705882352942
331608,12.0,48.0,27.0,15.0,102.0,4,11.76470588235294,47.05882352941176,26.47058823529412,14.705882352941178,2,47.05882352941176
339199,79.0,10.0,7.0,6.0,102.0,4,77.45098039215686,9.803921568627452,6.862745098039216,5.88235294117647,1,77.45098039215686
339716,75.0,17.0,5.0,5.0,102.0,4,73.52941176470588,16.666666666666664,4.901960784313726,4.901960784313726,1,73.52941176470588
404722,56.0,46.0,0.0,0.0,102.0,2,54.90196078431373,45.09803921568628,0.0,0.0,1,54.90196078431373
412702,80.0,14.0,5.0,3.0,102.0,4,78.43137254901961,13.725490196078432,4.901960784313726,2.941176470588235,1,78.43137254901961
422911,8.0,7.0,36.0,51.0,102.0,4,7.8431372549019605,6.862745098039216,35.294117647058826,50.0,4,50.0
442007,52.0,50.0,0.0,0.0,102.0,2,50.98039215686274,49.01960784313725,0.0,0.0,1,50.98039215686274
454471,2.0,18.0,28.0,54.0,102.0,4,1.9607843137254901,17.647058823529413,27.450980392156865,52.94117647058824,4,52.94117647058824
475656,32.0,55.0,5.0,10.0,102.0,4,31.372549019607842,53.92156862745098,4.901960784313726,9.803921568627452,2,53.92156862745098
521101,78.0,9.0,1.0,14.0,102.0,4,76.47058823529412,8.823529411764707,0.9803921568627451,13.725490196078432,1,76.47058823529412
524265,42.0,41.0,2.0,17.0,102.0,4,41.17647058823529,40.19607843137255,1.9607843137254901,16.666666666666664,1,41.17647058823529
333383,45.0,56.0,0.0,0.0,101.0,2,44.554455445544555,55.44554455445545,0.0,0.0,2,55.44554455445545
339198,56.0,24.0,19.0,2.0,101.0,4,55.44554455445545,23.762376237623762,18.81188118811881,1.9801980198019802,1,55.44554455445545
339722,97.0,3.0,0.0,1.0,101.0,3,96.03960396039604,2.9702970297029703,0.0,0.9900990099009901,1,96.03960396039604
